ЄДРПОУ;Скорочена назва;Повна назва;Дата створення;Доступ;Підключена до НПА
04351601;Бедевлянська сільська рада;Бедевлянська сільська рада Тячівського району Закарпатської області;06.08.2021;Веб-доступ;Ні
04351920;Андрівська с/р;Андрівська сільська рада;06.08.2021;Веб-доступ;Ні
04355601;Чернелицька селищна рада;Чернелицька селищна рада Коломийського району Івано-Франківської області;06.08.2021;Веб-доступ;Ні
04361723;Поліська СР;Поліська селищна рада;06.08.2021;Веб-доступ;Ні
04371957;Куликівська селищна рада;Куликівська селищна рада Львівського району Львівської області;06.08.2021;Веб-доступ;Ні
04375292;Казанківська селищна рада;Казанківська селищна рада;06.08.2021;Веб-доступ;Ні
04383802;Виконавчий комітет Котелевської селищної ради;Виконавчий комітет Котелевської селищної ради;06.08.2021;Веб-доступ;Ні
04384842;Виконком Піщанської сільської ради;Виконавчий комітет Піщанської сільської ради;06.08.2021;Веб-доступ;Ні
04392853;Трибухівська сільська рада;Трибухівська сільська рада;06.08.2021;Веб-доступ;Ні
04397037;ДВОРІЧАНСЬКА СЕЛИЩНА РАДА;ДВОРІЧАНСЬКА СЕЛИЩНА РАДА КУП’ЯНСЬКОГО РАЙОНУ ХАРКІВСЬКОЇ ОБЛАСТІ;06.08.2021;Веб-доступ;Ні
04399559;Біляївська сільська рада;Біляївська сільська рада Лозівського району Харківської області;06.08.2021;Веб-доступ;Ні
04406785;Сахновецька сільська рада;Сахновецька сільська рада Ізяславського району Хмельницької області;06.08.2021;Веб-доступ;Ні
25477986;Михайло-Лукашівська сільська рада;Михайло-Лукашівська сільська рада;06.08.2021;Веб-доступ;Ні
34176446;МИХАЙЛІВСЬКА С.Р.;МИХАЙЛІВСЬКА СІЛЬСЬКА РАДА;06.08.2021;АСКОД ;Ні
3829636321;Білгород-Дністровська спеціалізована прокуратура у військовій та оборонній сфері;Білгород-Дністровська спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636322;Дніпровська спеціалізована прокуратура у військовій та оборонній сфері;Дніпровська спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636323;Запорізька спеціалізована прокуратура у військовій та оборонній сфері;Запорізька спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636324;Одеська спеціалізована прокуратура у військовій та оборонній сфері;Одеська спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636325;Криворізька спеціалізована прокуратура у військовій та оборонній сфері;Криворізька спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;;Ні
3829636326;Кропивницька спеціалізована прокуратура у військовій та оборонній сфері;Кропивницька спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636327;Херсонська спеціалізована прокуратура у військовій та оборонній сфері;Херсонська спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
3829636328;Миколаївська спеціалізована прокуратура у військовій та оборонній сфері;Миколаївська спеціалізована прокуратура у військовій та оборонній сфері;06.08.2021;Megapolis.DocNet;Ні
40210421;ВИКОНКОМ БОГДАНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;ВИКОНКОМ БОГДАНІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;06.08.2021;ДОК ПРОФ;Ні
41747100;Виконком Троїцької сільської ради;Виконком Троїцької сільської ради;06.08.2021;ДОК ПРОФ;Ні
04054613;Кагарлицька міська рада;Кагарлицька міська рада;05.08.2021;АСКОД ;Ні
04055297;Гайворонська міська рада;Гайворонська міська рада;05.08.2021;Веб-доступ;Ні
04057103;БОЛГРАДСЬКА РДА;БОЛГРАДСЬКА РДА;05.08.2021;Веб-доступ;Ні
04061990;Бобровицька міська рада;Бобровицька міська рада Бобровицького району Чернігівської області;05.08.2021;Веб-доступ;Ні
04325986;Піщанська селищна рада;Піщанська селищна рада;05.08.2021;Веб-доступ;Ні
04326112;Копайгородська селищна рада;Копайгородська територіальна громада;05.08.2021;Веб-доступ;Ні
04326230;Турбівська селищна рада;Турбівська селищна рада Вінницького району Вінницької області;05.08.2021;Веб-доступ;Ні
04330450;Станіславчицька с/р;Станіславчицька сільська рада;05.08.2021;Веб-доступ;Ні
04338486;Петропавлівська с/р;Петропавлівська селищна рада;05.08.2021;Веб-доступ;Ні
04341577;Великоновосілківська с/рада;Великоновосілківська селищна рада;05.08.2021;Веб-доступ;Ні
04344156;Черняхівська селищна рада;Черняхівська селищна рада;05.08.2021;Веб-доступ;Ні
04350317;Великоберезька сільрада;Великоберезька сільська рада;05.08.2021;Веб-доступ;Ні
04355125;Рожнятівська селищна рада;Рожнятівська селищна рада;05.08.2021;Веб-доступ;Ні
04369707;Мурованська сільська рада ТГ;Мурованська сільска рада територіальна громада Львівського району Львівської області;05.08.2021;Веб-доступ;Ні
04377701;Вигодянська сільрада;Вигодянська сільська рада;05.08.2021;Веб-доступ;Ні
04380711;Плахтіївська сільська рада;Плахтіївська сільська рада Б-Дн. р-ну Од.обл.;05.08.2021;Веб-доступ;Ні
043881130;ЦНАП Володимирецької селищної ради;Центр надання адміністративних послуг Володимирецької селищної ради;05.08.2021;ПК ЦНАП (Вулик);Ні
04389354;Миропільська сільська рада;Миропільська сільська рада Краснопільського району Сумської області;05.08.2021;Веб-доступ;Ні
04395403;Іване-Пустенська с/р;Іване-Пустенська сільська рада;05.08.2021;Веб-доступ;Ні
04397359;Краснокутська селищна рада;Краснокутська селищна рада Богодухівського району Харківської області;05.08.2021;Веб-доступ;Ні
04404214;Гуківська;Гуківська сільська рада;05.08.2021;Веб-доступ;Ні
04407661;ВК Городищенської міської ради;Виконавчий комітет Городищенської міської ради;05.08.2021;Веб-доступ;Ні
05379317;Виконком Тернівської міської ради;Виконавчий комітет Тернівської міської ради;05.08.2021;ДОК ПРОФ;Ні
05389882;Деснянська селищна рада;Деснянська селищна рада;05.08.2021;Веб-доступ;Ні
05399248;Ярмолинецька селищна рада;Ярмолинецька селищна рада;05.08.2021;Веб-доступ;Ні
20508999;Якимівська селищна рада;Якимівська селищна рада Якимівського району Запорізької області;05.08.2021;Веб-доступ;Ні
24912102;Кушугумська селищна рада;Кушугумська селищна рада Запорізького району Запорізької області;05.08.2021;Веб-доступ;Ні
35486602;Ржищівський міськвиконком;Виконавчий комітет Ржищівської міської ради Київської області;05.08.2021;Веб-доступ;Ні
41845765;САКСАГАНСЬКОЇ СIЛЬСЬКОЇ РАДИ;ВИКОНКОМ САКСАГАНСЬКОЇ СIЛЬСЬКОЇ РАДИ;05.08.2021;ДОК ПРОФ;Ні
44199894;ГУ НССС у Луганській області;ГУ НССС у Луганській області;05.08.2021;Веб-доступ;Ні
44332482;ГУ Нацсоцслужби у Вінницькій області;ГОЛОВНЕ УПРАВЛІННЯ НАЦСОЦСЛУЖБИ У ВІННИЦЬКІЙ ОБЛАСТІ;05.08.2021;Веб-доступ;Ні
04378184;Городненська сільрада;Городненська сільська рада Болградського району Одеської області;04.08.2021;Веб-доступ;Ні
433518290;ЦНАП Новоселівської сільської ради;Центр надання адміністративних та соціальних послуг виконавчого комітету Новоселівської сільської ради Полтавського району Полтавської області;04.08.2021;ПК ЦНАП (Вулик);Ні
44161986;ГУ НССС У РІВНЕНСЬКІЙ ОБЛАСТІ;Головне управління Національної соціальної сервісної служби у Рівненській області;04.08.2021;Веб-доступ;Ні
44342553;ГУ НССС у ЛО;ГУ НАЦІОНАЛЬНОІ ССС У ЛЬВІВСЬКІЙ ОБЛАСТІ;04.08.2021;Веб-доступ;Ні
44190928;ГУ НССС у Чернівецькій області;ГУ НССС у Чернівецькій області;30.07.2021;Веб-доступ;Ні
44199868;ГУНССС у Херсонській області;ГУ НАЦІОНАЛЬНОЇ СОЦІАЛЬНОЇ СЕРВІСНОЇ СЛУЖБИ У ХЕРСОНСЬКІЙ ОБЛ;30.07.2021;Веб-доступ;Ні
44293192;ГУ Нацсоцслужби у Закарпатській обл.;ГУ Національної соціальної сервісної служби у Закарпатській обл.;30.07.2021;Веб-доступ;Ні
040521980;ЦНАП м.Нікополя;Відділ Центр надання адміністративних послуг м.Нікополя;29.07.2021;ПК ЦНАП (Вулик);Ні
44238330;ЦНАП Чуднівської міської ради;Центр надання адміністративних послуг Чуднівської міської ради;29.07.2021;ПК ЦНАП (Вулик);Ні
04350990;Ставненська сільська рада;СТАВНЕНСЬКА СІЛЬСЬКА РАДА УЖГОРОДСЬКОГО РАЙОНУ;28.07.2021;Веб-доступ;Ні
43927577;ЦНАП Згурівської селищної ради;Центр надання адміністративних послуг Згурівської селищної ради;28.07.2021;ПК ЦНАП (Вулик);Ні
04351529;Неліпинська сільська рада;Неліпинська сільська рада;26.07.2021;Веб-доступ;Ні
04351587;Полянська сільська рада Мукачівського району;Полянська сільська рада Мукачівського району;26.07.2021;Веб-доступ;Ні
043585080;ЦНАП Гатненської сільської ради;Центр надання адміністративних послуг Гатненської сільської ради;26.07.2021;ПК ЦНАП (Вулик);Ні
04410433;ВИКОНКОМ ГЕЛЬМЯЗІВСЬКОЇ С/Р;ВИКОНАВЧИЙ КОМІТЕТ ГЕЛЬМЯЗІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;26.07.2021;Веб-доступ;Ні
04411007;Виконком Маньківської селищної ради;Виконком Маньківської селищної ради;26.07.2021;Веб-доступ;Ні
23311381;В/Ч - 1499;В/Ч - 1499;26.07.2021;Веб-доступ;Ні
040546130;ЦНАП Кагарлицької міської ради;"Відділ ""Центр надання адміністративних послуг"" виконавчого комітету Кагарлицької міської ради";23.07.2021;ПК ЦНАП (Вулик);Ні
040549550;ЦНАП Таращанської міської ради;Центр надання адміністративних послуг Таращанської міської ради;23.07.2021;ПК ЦНАП (Вулик);Ні
040599350;ЦНАП виконавчого комітету Скадовської міської ради;Центр надання адміністративних послуг виконавчого комітету Скадовської міської ради;23.07.2021;ПК ЦНАП (Вулик);Ні
043609130;ЦНАП Ставищенської селищної ради;Центр надання адміністративних послуг Ставищенської селищної ради Київської області;23.07.2021;ПК ЦНАП (Вулик);Ні
044170460;ЦНАП Путильської селищної ради;Центр надання адміністративних послуг Путильської селищної ради;23.07.2021;ПК ЦНАП (Вулик);Ні
04351469;Богданська сільська рада;Богданська сільська рада;22.07.2021;Веб-доступ;Ні
043791660;ЦНАП Суворовської селищної ради;Центр надання адміністративних послуг Суворовської селищної ради;21.07.2021;ПК ЦНАП (Вулик);Ні
040549320;ЦНАП м. Бровари;ЦЕНТР ОБСЛУГОВУВАННЯ «ПРОЗОРИЙ ОФІС» ВИКОНАВЧОГО КОМІТЕТУ БРОВАРСЬКОЇ МІСЬКОЇ РАДИ БРОВАРСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ;20.07.2021;ПК ЦНАП (Вулик);Ні
043828950;ЦНАП виконавчого комітету Решетилівської міської ради;Центр надання адміністративних послуг виконавчого комітету Решетилівської міської ради Полтавської області;20.07.2021;ПК ЦНАП (Вулик);Ні
04013755;"Комунальне підприємство ""Головний інформаційно-обчислювальний центр""";"Комунальне підприємство ""Головний інформаційно-обчислювальний центр""";19.07.2021;АСКОД ;Ні
38321511;"Комунальна бюджетна установа ""Контактний центр міста Києва""";"Комунальна бюджетна установа ""Контактний центр міста Києва""";19.07.2021;АСКОД ;Ні
040535710;ЦНАП Новоград-Волинської міської ради;Центр надання адміністративних послуг Новоград-Волинської міської ради;16.07.2021;ПК ЦНАП (Вулик);Ні
040549840;ЦНАП виконавчого комітету Миронівської міської ради;Центр надання адміністративних послуг виконавчого комітету Миронівської міської ради;16.07.2021;ПК ЦНАП (Вулик);Ні
043589970;ЦНАП Рокитнянської селищної ради;"Відділ ""Центр надання адміністративних послуг"" Рокитнянської селищної ради";16.07.2021;ПК ЦНАП (Вулик);Ні
04407052;Орининська сільська рада;Орининська сільська рада;16.07.2021;Веб-доступ;Ні
439420240;ЦНАП Іллінецької міської ради;Центр надання адміністративних послуг Іллінецької міської ради;16.07.2021;ПК ЦНАП (Вулик);Ні
44078597;ЦНАП Ананьївської міської ради;Центр надання адміністративних послуг Ананьївської міської ради;16.07.2021;ПК ЦНАП (Вулик);Ні
44265757;ЧЕРВОНОГРАДСЬКА РДА;ЧЕРВОНОГРАДСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЛЬВІВСЬКОЇ ОБЛАСТІ;15.07.2021;Веб-доступ;Ні
04055373;МАЛОВИСКIВСЬКА М/Р;МАЛОВИСКIВСЬКА М/Р;13.07.2021;КАІ-Документообіг;Ні
04052229;Виконавчий Комітет Павлоградської Міської Ради;Виконавчий Комітет Павлоградської Міської Ради;09.07.2021;ДОК ПРОФ;Ні
04052637;Виконавчий комітет Синельниківської міської ради;Виконавчий комітет Синельниківської міської ради;09.07.2021;ДОК ПРОФ;Ні
043791890;ЦНАП Саратської селищної ради;Центр надання адміністративних послуг Саратської селищної ради Білгород-Дністровського району Одеської області;09.07.2021;ПК ЦНАП (Вулик);Ні
220962590;ЦНАП Холмківської сільської ради;Центр надання адміністративних послуг Холмківської сільської ради;09.07.2021;ПК ЦНАП (Вулик);Ні
25473739;УКВ БМР;Управління комунальної власності Бердянської міської ради;09.07.2021;Веб-доступ;Ні
44289377;ЦНАП Теплицької сільської ради;Центр надання адміністративних послуг Теплицької сільської ради Арцизького району Одеської області;07.07.2021;ПК ЦНАП (Вулик);Ні
043515120;ЦНАП Керецьківської сільської ради;Центр надання адміністративних послуг Керецьківської сільської ради Хустського району;06.07.2021;ПК ЦНАП (Вулик);Ні
05471230;"ПРАТ ""Хаківська ТЕЦ-5""";"Приватне Акціонерне Товариство ""Харківська ТЕЦ-5""";05.07.2021;АСКОД ;Ні
043799240;ЦНАП Окнянської селищної ради;Центр надання адміністративних послуг Окнянської селищної ради Одеської області;02.07.2021;ПК ЦНАП (Вулик);Ні
043973590;ЦНАП Краснокутської селищної ради;Центр надання адміністративних послуг апарату Краснокутської селищної ради Богодухівського району;02.07.2021;ПК ЦНАП (Вулик);Ні
44010662;Одеська РДА Одеської області;Одеська районна державна адміністрація Одеської області;02.07.2021;Веб-доступ;Ні
21560045;"АТ ""УКРПОШТА""";"АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРПОШТА""";01.07.2021;IT-Enterprise(ІТ Підприємство);Ні
249116340;ЦНАП виконавчого комітету Нововасилівської селищної ради;Центр надання адміністративних послуг виконавчого комітету Нововасилівської селищної ради;01.07.2021;ПК ЦНАП (Вулик);Ні
263071960;ЦНАП міста Дрогобич;Центр надання адміністративних послуг міста Дрогобич;01.07.2021;ПК ЦНАП (Вулик);Ні
225286120;ЦНАП виконавчого комітету Хорольської міської ради;Центр надання адміністративних послуг виконавчого комітету Хорольської міської ради Лубенського району Полтавської області;30.06.2021;ПК ЦНАП (Вулик);Ні
42325431;"ДУ ""ФОНД ЕНЕРГОЕФЕКТИВНОСТІ""";"ДЕРЖАВНА УСТАНОВА ""ФОНД ЕНЕРГОЕФЕКТИВНОСТІ""";30.06.2021;Megapolis.DocNet;Ні
043815360;ЦНАП виконавчого комітету Комишнянської селищної ради;Центр надання адміністративних послуг виконавчого комітету Комишнянської селищної ради;24.06.2021;ПК ЦНАП (Вулик);Ні
409244580;ЦНАП виконавчого комітету Скороходівської селищної ради;Центр надання адміністративних послуг населенню виконавчого комітету Скороходівської селищної ради;24.06.2021;ПК ЦНАП (Вулик);Ні
43413240;Управління Державної служби якості освіти у Херсонській області;Управління Державної служби якості освіти у Херсонській області;24.06.2021;АСКОД ;Ні
02139682;"КЗВО ""Вінницька академія безперервної освіти""";"КЗВО ""ВІННИЦЬКА АКАДЕМІЯ БЕЗПЕРЕРВНОЇ ОСВІТИ""";23.06.2021;Веб-доступ;Ні
44223324;РВ ФДМУ по Харківській області;РВ ФДМУ по Харківській області;23.06.2021;Веб-доступ;Ні
040584850;ЦНАП Борщівської міської ради;Центр надання адміністративних послуг Борщівської міської ради;16.06.2021;ПК ЦНАП (Вулик);Ні
043287890;ЦНАП Городківської сільської ради;Центр надання адміністративних послуг Городківської сільської ради;16.06.2021;ПК ЦНАП (Вулик);Ні
043321820;ЦНАП Локачинської селищної ради;Центр надання адміністративних послуг виконавчого комітету Локачинської селищної ради;16.06.2021;ПК ЦНАП (Вулик);Ні
043494320;ЦНАП Нижньоворітської сільської ради;Центр надання адміністративних послуг Нижньоворітської сільської ради Мукачівського району Закарпатської області;16.06.2021;ПК ЦНАП (Вулик);Ні
043562190;ЦНАП Загвіздянської сільської ради;Центр надання адміністративних послуг Загвіздянської сільської ради;16.06.2021;ПК ЦНАП (Вулик);Ні
04391351;СIВЕРСЬКО-ДОНЕЦЬКЕ БУВР;СIВЕРСЬКО-ДОНЕЦЬКЕ БУВР;16.06.2021;АСКОД ;Ні
044045480;ЦНАП виконачого комітету Летичівської селищної ради;Центр надання адміністративних послуг виконачого комітету Летичівської селищної ради;16.06.2021;ПК ЦНАП (Вулик);Ні
256772640;ЦНАП виконавчого комітету Веселівської селищної ради;Центр надання адміністративних послуг виконавчого комітету Веселівської селищної ради;16.06.2021;Веб-доступ;Ні
264907280;ЦНАП виконавчого комітету Водяницької сільської ради;Центр надання адміністративних послуг виконавчого комітету Водяницької сільської ради Звенигородського району Черкаської області;15.06.2021;ПК ЦНАП (Вулик);Ні
443708580;ЦНАП Мар’їнської МВЦА;Центр надання адміністративних послуг Мар’їнської міської військово-цивільної адміністрації Покровського району Донецької області;14.06.2021;ПК ЦНАП (Вулик);Ні
043495380;ЦНАП Зарічанської сільської ради;Центр надання адміністративних послуг Зарічанської сільської ради;11.06.2021;ПК ЦНАП (Вулик);Ні
43344220;НАК;НАЦІОНАЛЬНЕ АГЕНТСТВО КВАЛІФІКАЦІЙ;11.06.2021;Веб-доступ;Ні
053847840;ЦНАП виконавчого комітету Новогалещинської селищної ради;Центр надання адміністративних послуг виконавчого комітету Новогалещинської селищної ради;10.06.2021;ПК ЦНАП (Вулик);Ні
44098710;УКРФІНЖИТЛО;УКРФІНЖИТЛО;10.06.2021;Веб-доступ;Ні
043636620;ЦНАП Бородянської селищної ради;Відділ-центр надання адміністративних послуг Бородянської селищної ради;09.06.2021;ПК ЦНАП (Вулик);Ні
04412478;Любецька селищна рада;Любецька селищна рада;09.06.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
37929985;ВИКОНКОМ ОЛЕШКІВСЬКОЇ МІСЬКОЇ РАДИ;ВИКОНАВЧИЙ КОМІТЕТ ОЛЕШКІВСЬКОЇ МІСЬКОЇ РАДИ;09.06.2021;АСКОД ;Ні
043467700;ЦНАП виконавчого комітету Гладковицької сільської ради;Центр надання адміністративних послуг виконавчого комітету Гладковицької сільської ради;07.06.2021;ПК ЦНАП (Вулик);Ні
04404556;МЕДЖИБІЗЬКА СЕЛИЩНА РАДА;МЕДЖИБІЗЬКА СЕЛИЩНА РАДА;07.06.2021;Веб-доступ;Ні
02883133;ННЦІСЕ;Національний науковий центр «Інститут судових експертиз ім. Засл. проф. М. С. Бокаріуса»;04.06.2021;АСКОД ;Ні
02909909;Вінницька обласна прокуратура;Вінницька обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909915;Волинська обласна прокуратура;Волинська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909921;Луганська обласна прокуратура;Луганська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909938;Дніпропетровська обласна прокуратура;Дніпропетровська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909950;Житомирська обласна прокуратура;Житомирська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909967;Закарпатська обласна прокуратура;Закарпатська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909973;Запорізька обласна прокуратура;Запорізька обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02909996;Київська обласна прокуратура;Київська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910019;Київська міська прокуратура;Київська міська прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910025;Кіровоградська обласна прокуратура;Кіровоградська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910031;Львівська обласна прокуратура;Львівська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910048;Миколаївська обласна прокуратура;Миколаївська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910060;Полтавська обласна прокуратура;Полтавська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910077;Рівненська обласна прокуратура;Рівненська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910098;Тернопільська обласна прокуратура;Тернопільська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910108;Харківська обласна прокуратура;Харківська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910114;Чернігівська обласна прокуратура;Чернігівська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02910120;Чернівецька обласна прокуратура;Чернівецька обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02911088;Прокуратура Автономної Республіки Крим та міста Севастополя;Прокуратура Автономної Республіки Крим та міста Севастополя;04.06.2021;Megapolis.DocNet;Ні
02911102;Хмельницька обласна прокуратура;Хмельницька обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
02911119;Черкаська обласна прокуратура;Черкаська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
03527891;Сумська обласна прокуратура;Сумська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
03528552;Одеська обласна прокуратура;Одеська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
03530483;Івано-Франківська обласна прокуратура;Івано-Франківська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
044045560;ЦНАП Меджибізької селищної ради;Центр надання адміністративних послуг Меджибізької селищної ради;04.06.2021;ПК ЦНАП (Вулик);Ні
044057740;ЦНАП Теофіпольської селищної ради;Центр надання адміністративних послуг Теофіпольської селищної ради;04.06.2021;ПК ЦНАП (Вулик);Ні
04851120;Херсонська обласна прокуратура;Херсонська обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
25707002;Донецька обласна прокуратура;Донецька обласна прокуратура;04.06.2021;Megapolis.DocNet;Ні
38296363;Спеціалізована прокуратура у військовій та оборонній сфері Південного регіону;Спеціалізована прокуратура у військовій та оборонній сфері Південного регіону;04.06.2021;Megapolis.DocNet;Ні
38326057;Спеціалізована прокуратура у ВОС ЗР;Спеціалізована прокуратура у військовій та оборонній сфері Західного регіону;04.06.2021;Megapolis.DocNet;Ні
38347014;Спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;04.06.2021;Megapolis.DocNet;Ні
39969443;СПЕЦІАЛІЗОВАНА ПРОКУРАТУРА У ВОС ОС;СПЕЦІАЛІЗОВАНА ПРОКУРАТУРА У ВОС ОС;04.06.2021;Megapolis.DocNet;Ні
04060695;ВОЛОЧИСЬКА МІСЬКА РАДА;ВОЛОЧИСЬКА МІСЬКА РАДА;03.06.2021;Веб-доступ;Ні
04061984;Носівська міська рада;Носівська міська рада;03.06.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
043796570;ЦНАП Красносільської сільської ради;"Відділ ""Центр надання адміністративних послуг"" Красносільської сільської ради";03.06.2021;ПК ЦНАП (Вулик);Ні
04402505;МИХАЙЛЮЦЬКА СІЛЬСЬКА РАДА;МИХАЙЛЮЦЬКА СІЛЬСЬКА РАДА;03.06.2021;Веб-доступ;Ні
044033150;ЦНАП Віньковецької селищної ради;Центр надання адміністративних послуг Віньковецької селищної ради;03.06.2021;ПК ЦНАП (Вулик);Ні
07676441;"ДП ""Львівський радіоремонтний завод""";"Державне підприємство ""Львівський радіоремонтний завод""";01.06.2021;Веб-доступ;Ні
02013290;УПРАВЛІННЯ ОХОРОНИ ЗДОРОВ'Я ЧОДА;Управління охорони здоров'я Чернігівської облдержадміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02147351;ЧЕРНІГІВСЬКЕ ОБЛУОН;Управління освіти і науки Чернігівської ОДА;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02231672;ДЕПКУЛЬТУРИ ЧЕРНІГІВСЬКОЇ ОДА;Департамент культури і туризму, національностей та релігій Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02317451;ДЕПАРТАМЕНТ ФІНАНСІВ ЧЕРНІГІВСЬКОЇ ОДА;Департамент фінансів Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02498626;УМБА ЧЕРНІГІВСЬКОЇ ОДА;Управління містобудування та архітектури Чернігівської облдержадміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02742119;ДЕПЕКОНОМІКИ ЧЕРНІГІВСЬКОЇ ОДА;Департамент розвитку економіки та сільського господарства Чернігівської облдержадміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
02934345;ДСМС ЧЕРНІГІВСЬКОЇ ОДА;Департамент сім'ї, молоді та спорту ОДА;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
03195961;ДСЗН ЧЕРНІГІВСЬКОЇ ОДА;Департамент соціального захисту населення Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
03494474;ДЕРЖАРХІВ ЧЕРНІГІВСЬКОЇ ОБЛАСТІ;Державний архів Чернігівської області;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
04014246;УКБ ЧЕРНІГІВСЬКОЇ ОДА;Управління капітального будівництва Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
044169960;ЦНАП Берегометської селищної ради;Центр надання адміністративних послуг Берегометської селищної ради;31.05.2021;ПК ЦНАП (Вулик);Ні
23000089;ДЕПАРТАМЕНТ З ПИТАНЬ ЦЗ ТА ОБОРОННОЇ РОБОТИ ОДА;Департамент з питань цивільного захисту та оборонної роботи Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
25851319;СЛУЖБА У СПРАВАХ ДІТЕЙ ЧЕРНІГІВСЬКОЇ ОБЛДЕРЖАДМІНІСТРАЦІЇ;Служба у справах дітей Чернігівської облдержадміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
35385900;ДЕПІНФОРМДІЯЛЬНОСТІ ЧЕРНІГІВСЬКОЇ ОДА;Департамент інформаційної діяльності та комунікацій з громадськістю ОДА;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
38709568;ДЕПР ЧЕРНІГІВСЬКОЇ ОДА;Департамент екології та природних ресурсів Чернігівської ОДА;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
43602693;ДЕПАРТАМЕНТ ЕТЗ ТА ЖКГ ЧЕРНІГІВСЬКОЇ ОДА;Департамент енергоефективності, транспорту, зв'язку та житлово- комунального господарства Чернігівської обласної державної адміністрації;31.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
040573560;ЦНАП виконавчого комітету Карлівської міської ради;Центр надання адміністративних послуг виконавчого комітету Карлівської міської ради;28.05.2021;ПК ЦНАП (Вулик);Ні
04061777;МЕНСЬКА МIСЬКА РАДА;МЕНСЬКА МIСЬКА РАДА;28.05.2021;"TDocs (ТОВ ""Інформаційно-аналітичний центр"")";Ні
